document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,23798.13701816448,1.2015763497310628,46.60752654698421
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,12256.88197334148,1.063368031760968,29.676815947814692
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,15587.873718564017,1.0604051554728597,28.702558250074976
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,11697.70976488927,1.0609083435679636,36.56850214337507
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,28345.281185918684,1.1386739584703076,33.17325898807707
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,10259.092349025137,1.0534513018619875,35.11333757200741
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,42253.59024104395,1.1659740922374011,33.36930892740304
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,91696.29922682463,1.132995438999666,23.561467570093434
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,10516.110867214342,1.06407867035919,38.45146462806886
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,8982.39989713734,1.047726205640243,34.07176016560832
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,22800.71068057609,1.0723500515270814,34.86162311708656
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,11160.61105239662,1.0534249502647335,37.79211423881648
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,8002.676828661362,1.063083100157281,32.50352024520061
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,10205.498142966386,1.0628038561272037,28.82102462093478
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,46293.7587408806,1.156394141818031,30.954514889955156
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,15705.860176873992,1.0609916697940207,26.858976469565537
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,12011.888815927254,1.0646565838637114,32.061516041365
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,37068.73529933997,1.1688495979286857,37.281876454851584
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,41726.145336628084,1.1306367357785625,27.811815051365052
