document_id,views_pred_lgb,depth_pred_lgb,frp_pred_lgb
62930aa99a794740757a44d8o_uO_3XVRV-Ec9M2UMm_6g,7823.6672671477,1.0714568037818015,34.88014830037413
626c0b819a79470fdb15c2f4B6DCJzUvS0e0lnlYhQbHqw,6662.355504597444,1.0517472615082273,28.829773011267804
61f944599a79478bce44450eiAxZx9aYQ1izMflVP6n7eQ,16235.106143872088,1.1575838987718163,38.572930458435
624e9e5f9a7947a7595105c2oDu_6KCsQbWF-EKyHEV81g,21183.959931555746,1.159599428413504,46.57447297317101
62383ce19a79474a9d0e5925i9NaRlJxSRqv9AvtFRca6A,29090.50109915285,1.1299414622536672,20.3794851906718
623dcbab9a794774821a7a6eScr3AEy1RQqqvK_2gqOtzQ,56070.74513151754,1.1494698586333898,40.79927475598382
626271169a7947f230f0b476y6HzjgkwTUeJHQDmhmtyQQ,7378.462701337457,1.0595756279279975,23.200463284564268
6242e53a9a79476361c2f2ec8BgjuxOyQAmyu2jTTSQTLQ,59093.62541013536,1.1318099165924604,38.69507041604913
61fc306d9a79471897d3a414Hgl0EOCaTbuqeQQH0-__4w,11863.051160987749,1.163809293594136,37.015310494115525
61f8df639a7947522ba14a07hQQywtPYTQeXEKhU8IqvHA,18272.613675821227,1.1603458206821724,34.23554981214135
629194919a79477296a5e1e7piTiz1adSx2Qk1_pgSb7bA,22257.5294176134,1.053234503177518,32.15999496430783
6274d0d99a79475ff0070a54yxCPtmzdSyWuRENUp0GlYQ,7417.1682165269085,1.0640707966446807,35.29222377373651
626bbdcb9a7947ea6220ecb8A_9HCUy_Qeay1FxwEHgQSA,7299.3048954408405,1.0533242136709255,30.488419174532638
61feb1b89a7947e378fc0850Wu15lsLBQgCf6o6DjsnY-Q,19668.55090069076,1.1867128545119237,37.38064905722659
620f2c609a7947542de53a76GryMVHasR-WQ1u2TlcnaAg,15774.805590209284,1.1588486630038095,40.2990204589328
62755c8b9a79479c56e7f60cHVU45asNQ6u0Daoy1biYHw,30355.982553410588,1.053234503177518,27.71800154420383
624a6e129a7947b64198b736W9ylHdJRQSuXKHxSNI-dRw,19084.922728782913,1.1536845611892628,33.103098526478185
620f54259a79476179532928bYCrV-oRQ2OC0T9LOc-Qqw,16455.82820581915,1.1580200067913855,35.122803889610054
623c3fbd9a794732ec4a4d58aaLJ2mf3QPO9Cajhg92k8w,139051.09718754288,1.1237511471857444,39.8814449438916
6253e0609a7947a91068cdc2fj5XzqrLRz2WI1jj7a3VHw,16717.222984467753,1.065221818615272,33.211781330421076
625145239a79470bc6133539GTwRoWS_QsCBn72nf86mTg,21259.02861557341,1.065221818615272,32.70044413307926
6257f64b9a7947a2677bd5af5TxkuBWuR3iN2c_cc0C5uA,7884.7405149217,1.0628879390630228,35.412423751570024
628faea09a7947dd41776b15hQehZLPRSg-rIRy6G1SFdw,9860.732550026907,1.0606713253009012,27.509203637064385
620e26839a794779f8c0eda8xi2EkBnjQnqxQgTqXNoBew,15677.093579105484,1.1370335790769175,34.29062010109409
62865e4e9a7947f9342f137fueBj8DMfS5iVFyFYiTezVw,17458.680455088805,1.062197916041683,39.95061114775854
