document_id,views_pred_cb,depth_pred_cb,frp_pred_cb
6205efa59a7947334dd24392LaGM8B_kQ_S-P8VegzFJaA,25891.75176627894,1.1517088885725781,30.73138990843064
620e29b69a79477b9ca5d40aH5CLGAupQCmcUXxIVDdc6A,27094.391462303036,1.1430313557081007,36.04906512544262
625fa1c99a79477207bc61859ExJUI_lR5eGzVQDV4mJSw,6185.35742994379,1.0576788411408469,36.242544619806054
628945119a794744b3308e22ssl0qmnLRoOGquLld3odfQ,10346.357462522235,1.0621241897956626,32.40760310343902
6203c5ca9a7947ffdbc3c4e75nKbbeV3RsesdjzdhoaG2Q,25214.490603371072,1.1446593792347302,27.669127543595287
627303699a794749b8116abc12JX_3ZDTDu2XHF3k2eJVg,9091.012263108605,1.0580422400169895,36.343983038760015
627394d19a79477558804724OzHfTDTxTFa9tS4euFaXig,12143.880271837701,1.0553856193148894,25.851769534568547
628acc169a794796d0493acb50tIkSGVSf2O8XQgk_uaHQ,12928.916862375543,1.0582371012454748,32.47536384336614
61fce1fa9a794749b32a53cbUSZyxEDURzCoQC3G2eZYoA,29192.58932483614,1.154033394175061,34.56216176400149
620b332b9a794749f56bb95bLcoHGiVjSfKR7CiSxh6qbw,30507.386299001384,1.1483480285632377,33.13057483478303
627834249a7947425eb4d34f1jxszdFbTZ6Dx45ZtYeMFQ,5111.772765779515,1.0543448074591517,39.28798114226859
628c8f1b9a79472e8fb68134a0dNZqY9Ryy5CnFf7mICnQ,8646.363719679506,1.0622850387684923,37.240322754160296
628dd2a69a7947199109a1dfRss6aYaORVyoSoyXmuM1Jg,14032.052742579068,1.0614431447429797,27.055082821278035
6284ca249a794762d7348483bCM0h0aRRtGVjEBSPRtdLg,9058.408089560453,1.061817659054013,33.18974992418775
620d9c2e9a79474357b79b70DFPC36uPRJ6qT771O5o_DA,16583.321569521126,1.167733924536972,38.82501466181182
620b11409a7947420fff1c386sgT7harRv-BJZCbdUy20A,17705.64486814099,1.1605642549223263,31.79068137383375
625eb1f69a79472fe9fb7852ZN4IGxFoR3CgT163wGEhrw,10985.661034225934,1.0549272522368907,35.07699577290902
6262ccbe9a79471b3f4577a4CavjXN1eRIuleAqAsyWLbw,10270.706340970271,1.0553022230511813,34.056930409934466
6290214b9a7947f912d63452XoxiuDjsSA-neli0Hys48g,8033.523214149864,1.0556318690048898,36.31742224923391
628b05d59a7947a2ae96ff28Y3onIuIiRhay-6KQECanOQ,9030.313054649083,1.058916668481621,35.37472479060314
6205bd8d9a7947279d11e60beJ4905ImQgqArcGM1SvLVQ,30346.29780209035,1.1553447434018127,40.13754880319612
620b2b999a7947477f69751ft6w0GNSfSQe6VHxusCVaJQ,15788.236518732225,1.190001361910871,42.006596568381994
6262947e9a79470312654c46eEOJ8jFnQ8yR6iD8ONWkbg,8447.115830407056,1.0603323557799658,36.03533333997421
625d32529a7947a323a4e7b3lOxNx8e1QweJeu3MjAQjNA,14389.864889649481,1.052474682110112,24.33442071427485
624c03a39a794747dc04a7145sHoC5DQRYyOR92V_ypG3A,38920.24349443197,1.1530600808523543,32.11163599408755
627284269a794723941e9e1cX-7v6KFuSfO260BYr-xfwg,11287.315709618626,1.057981380521706,23.027778112215806
62015c0a9a794724287b0d6djjVwaS6DSE2xtLGK-YShjA,26486.657466690565,1.157494805561504,38.53836636859832
623c5d5f9a7947423bc6b24dLrt5WmD4QXe7Xaw_SdwnpQ,41578.790389961585,1.1269797571149693,39.18179834050031
628de2049a794720ca7217a6kIiX0KfaQRKCkp5FyQ40fg,11002.627742076165,1.0611461993991003,38.93488659076753
624da5629a79475d6b7494c739iofWssS--tnFNU083DWg,141085.3009502502,1.173326518631555,24.87496835332898
626852969a7947355f9261ae6o162wRERO6Oc5QJLq4sdQ,6907.497340026239,1.0468226316001858,34.31765722109652
